 
| Accuray Rank  |   PCA |   GMM |   Covariance  | Parameters ||Accuracy|
|           109 |   5   |   2   |   diag        |         40 ||   0.891|
|           110 |   2   |   2   |   tied        |         14 ||    0.89|
|           111 |   6   |   1   |   diag        |         24 ||   0.885|
|           112 |   5   |   2   |   spherical   |         24 ||   0.884|
|           113 |   7   |   2   |   spherical   |         32 ||   0.883|
|           114 |   3   |   2   |   diag        |         24 ||   0.883|
|           115 |   1   |   2   |   tied        |          6 ||   0.883|
|           116 |   8   |   2   |   spherical   |         36 ||   0.883|
|           117 |   11  |   2   |   spherical   |         48 ||   0.882|
|           118 |   6   |   1   |   spherical   |         14 ||   0.878|
|           119 |   13  |   1   |   spherical   |         28 ||   0.878|
|           120 |   14  |   1   |   spherical   |         30 ||   0.878|
|           121 |   15  |   1   |   spherical   |         32 ||   0.878|
|           122 |   16  |   1   |   spherical   |         34 ||   0.878|
|           123 |   17  |   1   |   spherical   |         36 ||   0.878|
|           124 |   18  |   1   |   spherical   |         38 ||   0.878|
|           125 |   19  |   1   |   spherical   |         40 ||   0.878|
|           126 |   20  |   1   |   spherical   |         42 ||   0.878|
|           127 |   21  |   1   |   spherical   |         44 ||   0.878|
|           128 |   22  |   1   |   spherical   |         46 ||   0.878|
|           129 |   5   |   1   |   diag        |         20 ||   0.878|
|           130 |   10  |   1   |   spherical   |         22 ||   0.877|
|           131 |   11  |   1   |   spherical   |         24 ||   0.877|
|           132 |   12  |   1   |   spherical   |         26 ||   0.877|
|           133 |   23  |   1   |   spherical   |         48 ||   0.877|
|           134 |   24  |   1   |   spherical   |         50 ||   0.877|
|           135 |   2   |   2   |   spherical   |         12 ||   0.876|
|           136 |   6   |   2   |   spherical   |         28 ||   0.876|
|           137 |   7   |   1   |   spherical   |         16 ||   0.876|
|           138 |   9   |   1   |   spherical   |         20 ||   0.875|
|           139 |   9   |   2   |   spherical   |         40 ||   0.875|
|           140 |   8   |   1   |   spherical   |         18 ||   0.875|
|           141 |   10  |   2   |   spherical   |         44 ||   0.873|
|           142 |   2   |   2   |   diag        |         16 ||   0.873|
|           143 |   3   |   1   |   spherical   |          8 ||   0.872|
|           144 |   5   |   1   |   spherical   |         12 ||   0.872|
|           145 |   3   |   1   |   diag        |         12 ||   0.869|
|           146 |   3   |   2   |   spherical   |         16 ||   0.868|
|           147 |   3   |   1   |   tied        |         18 ||   0.866|
|           148 |   3   |   1   |   full        |         18 ||   0.866|
|           149 |   4   |   1   |   spherical   |         10 ||   0.863|
|           150 |   2   |   1   |   diag        |          8 ||   0.862|
|           151 |   2   |   1   |   tied        |         10 ||   0.862|
|           152 |   2   |   1   |   full        |         10 ||   0.862|
|           153 |   2   |   1   |   spherical   |          6 ||    0.86|
|           154 |   4   |   2   |   tied        |         36 ||   0.859|
|           155 |   4   |   2   |   spherical   |         20 ||   0.856|
|           156 |   3   |   2   |   tied        |         24 ||   0.855|
|           157 |   1   |   1   |   spherical   |          4 ||   0.844|
|           158 |   1   |   1   |   diag        |          4 ||   0.844|
|           159 |   1   |   1   |   tied        |          4 ||   0.844|
|           160 |   1   |   1   |   full        |          4 ||   0.844|
|           161 |   4   |   1   |   diag        |         16 ||   0.843|
|           162 |   3   |   2   |   full        |         36 ||   0.819|
|           163 |   4   |   1   |   tied        |         28 ||   0.817|
|           164 |   4   |   1   |   full        |         28 ||   0.817|
1
​
1
​

